ID,Name,Line
0,Samaypur Badli,Yellow
1,Rohini Sector 18-19,Yellow
2,Haiderpur Badli Mor,Yellow
3,Jahangirpuri,Yellow
4,Adarsh Nagar,Yellow
5,Azadpur,Yellow
6,Model Town,Yellow
7,GTB Nagar,Yellow
8,Vishwavidyalaya,Yellow
9,Vidhan Sabha,Yellow
10,Civil Lines,Yellow
11,Kashmere Gate,Yellow
12,Chandni Chowk,Yellow
13,Chawri Bazar,Yellow
14,New Delhi,Yellow
15,Rajiv Chowk,Yellow
16,Patel Chowk,Yellow
17,Central Secretariat,Yellow
18,Udyog Bhawan,Yellow
19,Lok Kalyan Marg,Yellow
20,Jor Bagh,Yellow
21,INA,Yellow
22,AIIMS,Yellow
23,Green Park,Yellow
24,Hauz Khas,Yellow
25,Malviya Nagar,Yellow
26,Saket,Yellow
27,Qutab Minar,Yellow
28,Chhatarpur,Yellow
29,Sultanpur,Yellow
30,Ghitorni,Yellow
31,Arjan Garh,Yellow
32,Guru Dronacharya,Yellow
33,Sikanderpur,Yellow
34,MG Road,Yellow
35,IFFCO Chowk,Yellow
36,HUDA City Centre,Yellow
37,Dwarka Sec 21,Blue
38,Dwarka Sec 18-19,Blue
39,Dwarka Sec 10,Blue
40,Dwarka Sec 11-12,Blue
41,Dwarka,Blue
42,Dwarka Mor,Blue
43,Nawada,Blue
44,Uttam Nagar West,Blue
45,Uttam Nagar East,Blue
46,Janakpuri West,Blue
47,Janakpuri East,Blue
48,Tilak Nagar,Blue
49,Subhash Nagar,Blue
50,Tagore Garden,Blue
51,Rajouri Garden,Blue
52,Ramesh Nagar,Blue
53,Moti Nagar,Blue
54,Kirti Nagar,Blue
55,Shadipur,Blue
56,Patel Nagar,Blue
57,Rajendra Place,Blue
58,Karol Bagh,Blue
59,Jhandewalan,Blue
60,Ramakrishna Ashram Marg,Blue
61,Rajiv Chowk,Blue
62,Barakhamba Road,Blue
63,Mandi House,Blue
64,Pragati Maidan,Blue
65,Indraprastha,Blue
66,Yamuna Bank,Blue
67,Laxmi Nagar,Blue
68,Nirman Vihar,Blue
69,Preet Vihar,Blue
70,Karkarduma,Blue
71,Anand Vihar,Blue
72,Kaushambi,Blue
73,Vaishali,Blue
